total_rows,rows_updated,rows_created,errors,date,day_of_week,axis_label,is_anom,anomaly_type
31814.0,3210.0,28604,12.0,2024-02-23,Friday,Friday 2024-02-23,0,
32641.0,7499.0,25142,28.0,2024-02-22,Thursday,Thursday 2024-02-22,0,
27080.0,17965.0,9115,5.0,2024-02-21,Wednesday,Wednesday 2024-02-21,0,
33074.0,2722.0,30352,8.0,2024-02-20,Tuesday,Tuesday 2024-02-20,0,
2092.0,53.0,2039,11.0,2024-02-19,Monday,Monday 2024-02-19,0,
2089.0,2027.0,62,19.0,2024-02-18,Sunday,Sunday 2024-02-18,0,
30109.0,4161.0,25948,15.0,2024-02-17,Saturday,Saturday 2024-02-17,0,
25859.0,8569.0,17290,16.0,2024-02-16,Friday,Friday 2024-02-16,0,
33632.0,13424.0,20208,20.0,2024-02-15,Thursday,Thursday 2024-02-15,0,
33925.0,21064.0,12861,9.0,2024-02-14,Wednesday,Wednesday 2024-02-14,0,
31165.0,24512.0,6653,28.0,2024-02-13,Tuesday,Tuesday 2024-02-13,0,
1986.0,1790.0,196,19.0,2024-02-12,Monday,Monday 2024-02-12,0,
1842.0,1284.0,558,22.0,2024-02-11,Sunday,Sunday 2024-02-11,0,
31608.0,1583.0,30025,13.0,2024-02-10,Saturday,Saturday 2024-02-10,0,
35162.0,25093.0,10069,7.0,2024-02-09,Friday,Friday 2024-02-09,0,
27729.0,8958.0,18771,9.0,2024-02-08,Thursday,Thursday 2024-02-08,0,
27853.0,965.0,26888,12.0,2024-02-07,Wednesday,Wednesday 2024-02-07,0,
27094.0,23674.0,3420,10.0,2024-02-06,Tuesday,Tuesday 2024-02-06,0,
2064.0,1923.0,141,22.0,2024-02-05,Monday,Monday 2024-02-05,0,
2277.0,1215.0,1062,9.0,2024-02-04,Sunday,Sunday 2024-02-04,0,
30886.0,5119.0,25767,10.0,2024-02-03,Saturday,Saturday 2024-02-03,0,
31928.0,16407.0,15521,24.0,2024-02-02,Friday,Friday 2024-02-02,0,
29720.0,23815.0,5905,14.0,2024-02-01,Thursday,Thursday 2024-02-01,0,
23156.0,8245.0,14911,11.0,2024-01-31,Wednesday,Wednesday 2024-01-31,0,
29200.0,14682.0,14518,13.0,2024-01-30,Tuesday,Tuesday 2024-01-30,0,
1519.0,161.0,1358,14.0,2024-01-29,Monday,Monday 2024-01-29,0,
2099.0,1530.0,569,21.0,2024-01-28,Sunday,Sunday 2024-01-28,0,
25870.0,10436.0,15434,28.0,2024-01-27,Saturday,Saturday 2024-01-27,0,
25621.0,20856.0,4765,5.0,2024-01-26,Friday,Friday 2024-01-26,0,
28184.0,12088.0,16096,16.0,2024-01-25,Thursday,Thursday 2024-01-25,0,
33078.0,23930.0,9148,22.0,2024-01-24,Wednesday,Wednesday 2024-01-24,0,
30056.0,4805.0,25251,16.0,2024-01-23,Tuesday,Tuesday 2024-01-23,0,
1987.0,1857.0,130,29.0,2024-01-22,Monday,Monday 2024-01-22,0,
1693.0,1059.0,634,17.0,2024-01-21,Sunday,Sunday 2024-01-21,0,
29643.0,19857.0,9786,17.0,2024-01-20,Saturday,Saturday 2024-01-20,0,
35702.0,23872.0,11830,8.0,2024-01-19,Friday,Friday 2024-01-19,0,
30843.0,9139.0,21704,14.0,2024-01-18,Thursday,Thursday 2024-01-18,0,
32250.0,15896.0,16354,10.0,2024-01-17,Wednesday,Wednesday 2024-01-17,0,
25436.0,398.0,25038,11.0,2024-01-16,Tuesday,Tuesday 2024-01-16,0,
2218.0,1444.0,774,12.0,2024-01-15,Monday,Monday 2024-01-15,0,
1704.0,538.0,1166,19.0,2024-01-14,Sunday,Sunday 2024-01-14,0,
31555.0,8152.0,23403,8.0,2024-01-13,Saturday,Saturday 2024-01-13,0,
31510.0,9901.0,21609,9.0,2024-01-12,Friday,Friday 2024-01-12,0,
29321.0,974.0,28347,9.0,2024-01-11,Thursday,Thursday 2024-01-11,0,
27458.0,18412.0,9046,7.0,2024-01-10,Wednesday,Wednesday 2024-01-10,0,
32625.0,28080.0,4545,23.0,2024-01-09,Tuesday,Tuesday 2024-01-09,0,
1711.0,858.0,853,30.0,2024-01-08,Monday,Monday 2024-01-08,0,
1354.0,904.0,450,14.0,2024-01-07,Sunday,Sunday 2024-01-07,0,
31415.0,21737.0,9678,9.0,2024-01-06,Saturday,Saturday 2024-01-06,0,
34977.0,22271.0,12706,17.0,2024-01-05,Friday,Friday 2024-01-05,0,
