,update_date,revision_seq,update_type,total_rows,rows_updated,rows_created,errors,day_of_week,axis_label
0,2023-08-01,748,update,40286,12278,28008,0,Tuesday,Tuesday 2023-08-01
1,2023-07-31,747,update,1511,93,1396,22,Monday,Monday 2023-07-31
2,2023-07-30,746,update,2333,1591,742,0,Sunday,Sunday 2023-07-30
3,2023-07-29,745,update,39217,13172,25952,93,Saturday,Saturday 2023-07-29
4,2023-07-28,744,update,43273,14368,28899,6,Friday,Friday 2023-07-28
5,2023-07-27,743,update,42683,12309,30361,13,Thursday,Thursday 2023-07-27
6,2023-07-26,742,update,43709,14179,29530,0,Wednesday,Wednesday 2023-07-26
7,2023-07-25,741,update,42241,13207,29028,6,Tuesday,Tuesday 2023-07-25
8,2023-07-24,740,update,1327,0,1318,9,Monday,Monday 2023-07-24
9,2023-07-23,739,update,1832,636,1126,70,Sunday,Sunday 2023-07-23
10,2023-07-22,738,update,37114,11354,25757,3,Saturday,Saturday 2023-07-22
11,2023-07-21,737,update,39963,11399,28555,9,Friday,Friday 2023-07-21
12,2023-07-20,736,update,43917,14816,29101,0,Thursday,Thursday 2023-07-20
13,2023-07-19,735,update,44016,14042,29974,0,Wednesday,Wednesday 2023-07-19
14,2023-07-18,734,update,42761,13888,28864,9,Tuesday,Tuesday 2023-07-18
15,2023-07-17,733,update,1565,17,1527,21,Monday,Monday 2023-07-17
16,2023-07-16,732,update,2556,1127,1420,9,Sunday,Sunday 2023-07-16
17,2023-07-15,731,update,38153,11898,26249,6,Saturday,Saturday 2023-07-15
18,2023-07-14,730,update,40724,13046,27675,3,Friday,Friday 2023-07-14
19,2023-07-13,729,update,42808,11821,30986,1,Thursday,Thursday 2023-07-13
