total_rows,rows_updated,rows_created,errors,date,day_of_week,axis_label
31814,3210,28604,12,2024-02-23,Friday,Friday 2024-02-23
32641,7499,25142,28,2024-02-22,Thursday,Thursday 2024-02-22
27080,17965,9115,5,2024-02-21,Wednesday,Wednesday 2024-02-21
33074,2722,30352,8,2024-02-20,Tuesday,Tuesday 2024-02-20
2092,53,2039,11,2024-02-19,Monday,Monday 2024-02-19
2089,2027,62,19,2024-02-18,Sunday,Sunday 2024-02-18
30109,4161,25948,15,2024-02-17,Saturday,Saturday 2024-02-17
25859,8569,17290,16,2024-02-16,Friday,Friday 2024-02-16
33632,13424,20208,20,2024-02-15,Thursday,Thursday 2024-02-15
33925,21064,12861,9,2024-02-14,Wednesday,Wednesday 2024-02-14
31165,24512,6653,28,2024-02-13,Tuesday,Tuesday 2024-02-13
1986,1790,196,19,2024-02-12,Monday,Monday 2024-02-12
1842,1284,558,22,2024-02-11,Sunday,Sunday 2024-02-11
31608,1583,30025,13,2024-02-10,Saturday,Saturday 2024-02-10
35162,25093,10069,7,2024-02-09,Friday,Friday 2024-02-09
27729,8958,18771,9,2024-02-08,Thursday,Thursday 2024-02-08
27853,965,26888,12,2024-02-07,Wednesday,Wednesday 2024-02-07
27094,23674,3420,10,2024-02-06,Tuesday,Tuesday 2024-02-06
2064,1923,141,22,2024-02-05,Monday,Monday 2024-02-05
2277,1215,1062,9,2024-02-04,Sunday,Sunday 2024-02-04
30886,5119,25767,10,2024-02-03,Saturday,Saturday 2024-02-03
31928,16407,15521,24,2024-02-02,Friday,Friday 2024-02-02
29720,23815,5905,14,2024-02-01,Thursday,Thursday 2024-02-01
23156,8245,14911,11,2024-01-31,Wednesday,Wednesday 2024-01-31
29200,14682,14518,13,2024-01-30,Tuesday,Tuesday 2024-01-30
1519,161,1358,14,2024-01-29,Monday,Monday 2024-01-29
2099,1530,569,21,2024-01-28,Sunday,Sunday 2024-01-28
25870,10436,15434,28,2024-01-27,Saturday,Saturday 2024-01-27
25621,20856,4765,5,2024-01-26,Friday,Friday 2024-01-26
28184,12088,16096,16,2024-01-25,Thursday,Thursday 2024-01-25
33078,23930,9148,22,2024-01-24,Wednesday,Wednesday 2024-01-24
30056,4805,25251,16,2024-01-23,Tuesday,Tuesday 2024-01-23
1987,1857,130,29,2024-01-22,Monday,Monday 2024-01-22
1693,1059,634,17,2024-01-21,Sunday,Sunday 2024-01-21
29643,19857,9786,17,2024-01-20,Saturday,Saturday 2024-01-20
35702,23872,11830,8,2024-01-19,Friday,Friday 2024-01-19
